dis,time,cnt
松山區,00~02,8
松山區,02~04,10
松山區,04~06,7
松山區,06~08,6
松山區,08~10,9
松山區,10~12,16
松山區,12~14,15
松山區,14~16,17
松山區,16~18,15
松山區,18~20,12
松山區,20~22,15
松山區,22~24,10
信義區,00~02,17
信義區,02~04,21
信義區,04~06,9
信義區,06~08,18
信義區,08~10,33
信義區,10~12,25
信義區,12~14,18
信義區,14~16,25
信義區,16~18,17
信義區,18~20,16
信義區,20~22,19
信義區,22~24,18
大安區,00~02,32
大安區,02~04,45
大安區,04~06,21
大安區,06~08,30
大安區,08~10,61
大安區,10~12,31
大安區,12~14,35
大安區,14~16,39
大安區,16~18,49
大安區,18~20,36
大安區,20~22,50
大安區,22~24,29
中山區,00~02,4
中山區,02~04,17
中山區,04~06,8
中山區,06~08,10
中山區,08~10,8
中山區,10~12,14
中山區,12~14,19
中山區,14~16,25
中山區,16~18,13
中山區,18~20,14
中山區,20~22,9
中山區,22~24,18
中正區,00~02,11
中正區,02~04,22
中正區,04~06,8
中正區,06~08,9
中正區,08~10,26
中正區,10~12,25
中正區,12~14,18
中正區,14~16,22
中正區,16~18,20
中正區,18~20,19
中正區,20~22,20
中正區,22~24,12
大同區,00~02,13
大同區,02~04,16
大同區,04~06,18
大同區,06~08,12
大同區,08~10,27
大同區,10~12,11
大同區,12~14,16
大同區,14~16,23
大同區,16~18,14
大同區,18~20,19
大同區,20~22,18
大同區,22~24,15
萬華區,00~02,9
萬華區,02~04,24
萬華區,04~06,8
萬華區,06~08,11
萬華區,08~10,24
萬華區,10~12,18
萬華區,12~14,16
萬華區,14~16,30
萬華區,16~18,23
萬華區,18~20,17
萬華區,20~22,19
萬華區,22~24,9
文山區,00~02,11
文山區,02~04,8
文山區,04~06,9
文山區,06~08,14
文山區,08~10,23
文山區,10~12,15
文山區,12~14,16
文山區,14~16,23
文山區,16~18,23
文山區,18~20,8
文山區,20~22,17
文山區,22~24,12
南港區,00~02,9
南港區,02~04,10
南港區,04~06,2
南港區,06~08,19
南港區,08~10,15
南港區,10~12,8
南港區,12~14,10
南港區,14~16,5
南港區,16~18,12
南港區,18~20,11
南港區,20~22,12
南港區,22~24,9
內湖區,00~02,11
內湖區,02~04,5
內湖區,04~06,6
內湖區,06~08,5
內湖區,08~10,9
內湖區,10~12,11
內湖區,12~14,12
內湖區,14~16,19
內湖區,16~18,9
內湖區,18~20,10
內湖區,20~22,14
內湖區,22~24,4
士林區,00~02,9
士林區,02~04,6
士林區,04~06,2
士林區,06~08,15
士林區,08~10,26
士林區,10~12,3
士林區,12~14,20
士林區,14~16,19
士林區,16~18,12
士林區,18~20,15
士林區,20~22,20
士林區,22~24,6
北投區,00~02,5
北投區,02~04,5
北投區,04~06,1
北投區,06~08,19
北投區,08~10,22
北投區,10~12,28
北投區,12~14,22
北投區,14~16,34
北投區,16~18,27
北投區,18~20,19
北投區,20~22,21
北投區,22~24,7
